title,year,genre1,genre2,genre3,country,language,director,reviews_from_users,reviews_from_critics
The Perils of Pauline,1914,14,5,3,4,1,"Louis J. Gasnier, Donald MacKenzie",5.0,7.0
The Squaw Man,1914,14,3,7,4,1,"Oscar Apfel, Cecil B. DeMille",8.0,3.0
Tess of the Storm Country,1914,3,,,4,1,Edwin S. Porter,5.0,3.0
Tillie's Punctured Romance,1914,12,,,4,1,"Mack Sennett, Charles Bennett",37.0,18.0
A tolonc,1915,3,,,8,7,Michael Curtiz,1.0,9.0
The Virginian,1914,11,,,4,1,Cecil B. DeMille,12.0,
The Wishing Ring: An Idyll of Old England,1914,12,3,,4,1,Maurice Tourneur,5.0,2.0
The Wrath of the Gods,1914,3,7,,4,1,Reginald Barker,5.0,2.0
Alias Jimmy Valentine,1915,2,3,,4,1,Maurice Tourneur,4.0,3.0
Alice in Wonderland,1915,5,13,6,4,1,W.W. Young,9.0,8.0
The Birth of a Nation,1915,3,4,8,4,7,D.W. Griffith,353.0,94.0
Carmen,1915,3,,,4,1,Cecil B. DeMille,19.0,6.0
The Cheat,1915,3,7,,4,1,Cecil B. DeMille,38.0,19.0
The Coward,1915,3,4,8,4,1,"Reginald Barker, Thomas H. Ince",15.0,3.0
A Fool There Was,1915,3,,,4,1,Frank Powell,19.0,14.0
The Golden Chance,1915,3,,,4,1,Cecil B. DeMille,10.0,1.0
Hævnens Nat,1916,2,3,10,8,7,Benjamin Christensen,6.0,2.0
The Italian,1915,3,,,4,1,Reginald Barker,11.0,3.0
Martyrs of the Alamo,1915,3,4,8,4,1,Christy Cabanne,5.0,1.0
The Nigger,1915,3,,,4,1,Edgar Lewis,,
Posle smerti,1915,3,,,3,6,Yevgeny Bauer,10.0,5.0
Rapsodia satanica,1917,3,6,10,5,7,Nino Oxilia,5.0,5.0
The Regeneration,1915,1,2,3,4,1,Raoul Walsh,17.0,15.0
Les vampires,1915,14,5,2,7,5,Louis Feuillade,22.0,52.0
Young Romance,1915,12,,,4,1,George Melford,7.0,1.0
"20,000 Leagues Under the Sea",1916,14,5,15,4,1,Stuart Paton,26.0,16.0
The Children in the House,1916,3,,,4,1,"Chester M. Franklin, Sidney Franklin",4.0,
Civilization,1915,3,,,4,7,"Reginald Barker, Thomas H. Ince",7.0,6.0
The Devil's Needle,1916,3,,,4,1,Chester Withey,4.0,11.0
Dödskyssen,1916,12,2,3,8,7,Victor Sjöström,,1.0
Flirting with Fate,1916,5,12,,4,1,Christy Cabanne,6.0,2.0
Going Straight,1916,2,3,,4,1,"Chester M. Franklin, Sidney Franklin",7.0,
The Good Bad-Man,1916,7,11,,4,1,Allan Dwan,4.0,2.0
Gretchen the Greenhorn,1916,2,3,7,4,1,"Chester M. Franklin, Sidney Franklin",7.0,1.0
The Half-Breed,1916,11,,,4,1,Allan Dwan,9.0,5.0
Hell's Hinges,1916,7,11,,4,1,"Charles Swickard, William S. Hart",20.0,10.0
His Picture in the Papers,1916,12,,,4,1,John Emerson,7.0,4.0
Hoodoo Ann,1916,12,3,7,4,1,Lloyd Ingraham,11.0,
Intolerance: Love's Struggle Throughout the Ages,1916,3,4,,4,7,D.W. Griffith,105.0,77.0
Judex,1916,5,2,,7,5,Louis Feuillade,9.0,14.0
The Matrimaniac,1916,12,7,,4,1,Paul Powell,5.0,
Pikovaya dama,1916,3,6,10,3,6,Yakov Protazanov,7.0,5.0
Reggie Mixes In,1916,14,12,3,4,1,Christy Cabanne,4.0,
The Return of Draw Egan,1916,14,5,7,4,1,William S. Hart,6.0,1.0
Schuhpalast Pinkus,1916,12,,,1,3,Ernst Lubitsch,1.0,1.0
Sherlock Holmes,1916,9,,,4,1,Arthur Berthelet,10.0,16.0
Shoes,1916,3,,,4,1,Lois Weber,1.0,6.0
Snow White,1916,6,7,,4,1,J. Searle Dawley,13.0,5.0
The Social Secretary,1916,12,3,,4,1,John Emerson,10.0,2.0
Where Are My Children?,1916,3,,,4,1,"Phillips Smalley, Lois Weber",25.0,6.0
49-'17,1917,3,11,,4,1,Ruth Ann Baldwin,12.0,2.0
Bucking Broadway,1917,11,,,4,1,John Ford,9.0,7.0
Cleopatra,1917,1,3,4,4,1,J. Gordon Edwards,3.0,3.0
Furcht,1917,10,,,1,7,Robert Wiene,3.0,
A Girl's Folly,1917,12,,,4,7,Maurice Tourneur,8.0,2.0
Himmelskibet,1918,5,6,15,8,7,Holger-Madsen,13.0,13.0
Joan the Woman,1916,5,3,4,4,1,Cecil B. DeMille,17.0,5.0
The Little American,1917,3,7,8,4,1,"Cecil B. DeMille, Joseph Levering",12.0,5.0
The Little Princess,1917,3,,,4,1,Marshall Neilan,3.0,2.0
A Modern Musketeer,1917,5,12,11,4,1,Allan Dwan,11.0,7.0
Otets Sergiy,1918,1,3,4,3,7,"Yakov Protazanov, Alexandre Volkoff",6.0,2.0
The Poor Little Rich Girl,1917,12,3,13,4,1,Maurice Tourneur,16.0,13.0
"Raffles, the Amateur Cracksman",1917,5,2,7,4,1,George Irving,2.0,3.0
Rebecca of Sunnybrook Farm,1917,12,3,,4,1,Marshall Neilan,8.0,5.0
A Romance of the Redwoods,1917,5,12,3,4,7,Cecil B. DeMille,12.0,3.0
Satana likuyushchiy,1917,3,,,3,7,Yakov Protazanov,1.0,
Straight Shooting,1917,11,,,4,1,John Ford,8.0,10.0
Terje Vigen,1917,3,8,,8,7,Victor Sjöström,11.0,9.0
Thomas Graals bästa film,1917,12,,,8,7,Mauritz Stiller,4.0,
Tillie Wakes Up,1917,12,,,4,7,Harry Davenport,4.0,
Tom Sawyer,1917,5,12,3,4,1,William Desmond Taylor,8.0,2.0
Tösen från Stormyrtorpet,1917,3,,,8,7,Victor Sjöström,1.0,2.0
Wild and Woolly,1917,12,11,7,4,1,John Emerson,7.0,2.0
Amarilly of Clothes-Line Alley,1918,12,7,,4,1,Marshall Neilan,9.0,5.0
Az aranyember,1919,3,,,8,7,Alexander Korda,,1.0
Die Augen der Mumie Ma,1918,3,10,,1,3,Ernst Lubitsch,16.0,15.0
Berg-Ejvind och hans hustru,1918,3,,,8,7,Victor Sjöström,11.0,17.0
The Blue Bird,1918,6,,,4,1,Maurice Tourneur,20.0,10.0
Carmen,1918,3,,,1,3,Ernst Lubitsch,7.0,9.0
La dixième symphonie,1918,3,,,7,5,Abel Gance,4.0,2.0
Das fidele Gefängnis,1917,12,,,1,3,Ernst Lubitsch,7.0,2.0
The Forbidden City,1918,3,7,,4,1,Sidney Franklin,8.0,1.0
Hearts of the World,1918,3,8,,4,1,D.W. Griffith,14.0,11.0
Johanna Enlists,1918,12,7,,4,1,William Desmond Taylor,4.0,2.0
M'Liss,1918,12,3,,4,1,Marshall Neilan,9.0,5.0
The Married Virgin,1918,3,,,4,1,Joseph Maxwell,10.0,2.0
Mickey,1918,12,3,,4,1,"F. Richard Jones, James Young",18.0,3.0
Old Wives for New,1918,3,,,4,1,Cecil B. DeMille,11.0,2.0
A Pair of Silk Stockings,1918,12,7,,4,1,Walter Edwards,4.0,
A Romance of Happy Valley,1919,3,7,,4,1,D.W. Griffith,7.0,1.0
Shifting Sands,1918,3,,,4,1,Albert Parker,7.0,1.0
Shoulder Arms,1918,12,8,,4,1,Charles Chaplin,35.0,21.0
Stella Maris,1918,3,,,4,7,Marshall Neilan,19.0,10.0
Tarzan of the Apes,1918,14,5,,4,7,Scott Sidney,13.0,16.0
Tih Minh,1918,5,9,,7,5,Louis Feuillade,1.0,7.0
The Whispering Chorus,1918,3,,,4,1,Cecil B. DeMille,14.0,5.0
Anders als die Andern,1919,2,3,4,1,1,Richard Oswald,16.0,16.0
Ravished Armenia,1919,3,4,7,4,7,Oscar Apfel,1.0,2.0
Die Austernprinzessin,1919,12,,,1,3,Ernst Lubitsch,18.0,19.0
El automóvil gris,1919,14,2,,8,7,Enrique Rosas,1.0,2.0
Back to God's Country,1919,5,7,,8,7,David Hartford,11.0,6.0
Behind the Door,1919,3,16,8,4,1,Irvin Willat,5.0,6.0
Blind Husbands,1919,3,7,,4,1,Erich von Stroheim,12.0,16.0
Broken Blossoms or The Yellow Man and the Girl,1919,3,7,,4,7,D.W. Griffith,87.0,76.0
The Busher,1919,3,17,,4,1,Jerome Storm,13.0,4.0
Daddy-Long-Legs,1919,12,3,,4,1,Marshall Neilan,20.0,10.0
The Delicious Little Devil,1919,12,3,,4,1,Robert Z. Leonard,12.0,5.0
Don't Change Your Husband,1919,12,,,4,7,Cecil B. DeMille,21.0,6.0
Eyes of Youth,1919,3,,,4,1,Albert Parker,6.0,
"For Better, for Worse",1919,3,,,4,1,Cecil B. DeMille,3.0,
Getting Mary Married,1919,12,,,4,1,Allan Dwan,4.0,
The Greatest Question,1919,3,,,4,1,D.W. Griffith,11.0,1.0
The Grim Game,1919,5,3,,4,1,Irvin Willat,11.0,4.0
Harakiri,1919,3,,,1,7,Fritz Lang,9.0,7.0
Hawthorne of the U.S.A.,1919,5,12,7,4,1,James Cruze,2.0,1.0
Heart o' the Hills,1919,3,7,,4,1,"Joseph De Grasse, Sidney Franklin",10.0,5.0
Herr Arnes pengar,1919,3,4,,8,7,Mauritz Stiller,8.0,12.0
The Hoodlum,1919,12,,,4,1,Sidney Franklin,9.0,4.0
Ich möchte kein Mann sein,1918,12,7,,1,3,Ernst Lubitsch,15.0,15.0
J'accuse,1919,3,10,8,7,5,Abel Gance,15.0,25.0
Das Cabinet des Dr. Caligari,1920,6,10,9,1,3,Robert Wiene,218.0,148.0
Male and Female,1919,5,3,,4,1,Cecil B. DeMille,16.0,8.0
Meyer aus Berlin,1919,12,,,1,3,Ernst Lubitsch,3.0,
The Miracle Man,1919,3,,,4,1,George Loane Tucker,5.0,3.0
The Mother and the Law,1919,3,,,4,7,D.W. Griffith,3.0,1.0
Die Pest in Florenz,1919,3,4,10,1,7,Otto Rippert,2.0,2.0
Præsidenten,1919,3,,,8,7,Carl Theodor Dreyer,7.0,9.0
Die Puppe,1919,12,6,,1,7,Ernst Lubitsch,10.0,20.0
The Roaring Road,1919,12,3,17,4,1,James Cruze,5.0,1.0
Scarlet Days,1919,5,7,11,4,1,D.W. Griffith,5.0,
The Sentimental Bloke,1919,3,7,,8,1,Raymond Longford,11.0,
"Die Spinnen, 1. Teil - Der Goldene See",1919,5,11,,1,7,Fritz Lang,11.0,21.0
Sången om den eldröda blomman,1919,3,7,,8,7,Mauritz Stiller,2.0,
True Heart Susie,1919,12,3,7,4,1,D.W. Griffith,48.0,8.0
Unheimliche Geschichten,1919,6,10,9,1,7,Richard Oswald,7.0,9.0
Victory,1919,3,7,,4,1,Maurice Tourneur,13.0,5.0
Wagon Tracks,1919,11,,,4,7,Lambert Hillyer,7.0,5.0
When the Clouds Roll by,1919,14,12,7,4,1,Victor Fleming,8.0,6.0
The Wicked Darling,1919,3,2,,4,1,Tod Browning,9.0,3.0
Yankee Doodle in Berlin,1919,12,,,4,1,F. Richard Jones,6.0,2.0
Algol - Tragödie der Macht,1920,6,15,,1,7,Hans Werckmeister,4.0,6.0
Anna Boleyn,1920,3,,,1,3,Ernst Lubitsch,13.0,13.0
L'Atlantide,1921,5,6,9,7,5,Jacques Feyder,5.0,10.0
Blade af Satans bog,1920,3,,,8,7,Carl Theodor Dreyer,15.0,15.0
Dr. Jekyll and Mr. Hyde,1920,3,10,15,4,1,John S. Robertson,68.0,64.0
Dr. Jekyll and Mr. Hyde,1920,3,10,15,4,1,J. Charles Haydon,4.0,4.0
Erotikon,1920,12,7,,8,7,Mauritz Stiller,12.0,8.0
Fante-Anne,1920,2,3,7,8,7,Rasmus Breistein,1.0,1.0
The Flapper,1920,12,,,4,1,Alan Crosland,12.0,4.0
Der Gang in die Nacht,1921,3,,,1,3,F.W. Murnau,4.0,6.0
Genuine,1920,10,,,1,3,Robert Wiene,12.0,7.0
"Der Golem, wie er in die Welt kam",1920,6,10,,1,7,"Carl Boese, Paul Wegener",47.0,40.0
Headin' Home,1920,1,12,3,4,1,Lawrence C. Windom,11.0,7.0
L'Hirondelle et la Mésange,1924,3,,,7,5,André Antoine,3.0,4.0
L'homme du large,1920,3,,,7,5,Marcel L'Herbier,3.0,3.0
Humoresque,1920,3,,,4,7,Frank Borzage,3.0,3.0
Just Pals,1920,12,3,11,4,1,John Ford,4.0,3.0
Der Klosterjäger,1920,3,,,1,7,Franz Osten,,
Klostret i Sendomir,1920,3,,,8,7,Victor Sjöström,3.0,3.0
Kohlhiesels Töchter,1920,12,7,,1,3,Ernst Lubitsch,3.0,1.0
The Last of the Mohicans,1920,14,5,3,4,1,"Clarence Brown, Maurice Tourneur",26.0,5.0
The Love Expert,1920,12,7,,4,7,David Kirkland,5.0,1.0
The Mark of Zorro,1920,5,7,11,4,7,Fred Niblo,36.0,19.0
Markens grøde,1921,3,,,8,7,Gunnar Sommerfeldt,3.0,3.0
The Mollycoddle,1920,5,12,7,4,1,Victor Fleming,5.0,6.0
Nomads of the North,1920,3,,,4,7,David Hartford,10.0,3.0
The Penalty,1920,2,3,10,4,1,Wallace Worsley,42.0,41.0
Pollyanna,1920,13,12,3,4,1,Paul Powell,15.0,2.0
Prästänkan,1920,12,3,10,8,7,Carl Theodor Dreyer,12.0,14.0
Romeo und Julia im Schnee,1920,12,,,1,3,Ernst Lubitsch,4.0,1.0
The Round-Up,1920,12,11,,4,1,George Melford,4.0,1.0
The Saphead,1920,12,,,4,7,"Herbert Blaché, Winchell Smith",21.0,17.0
Sex,1920,3,,,4,7,Fred Niblo,8.0,
Something to Think About,1920,3,,,4,7,Cecil B. DeMille,3.0,
"Die Spinnen, 2. Teil - Das Brillantenschiff",1920,5,,,1,7,Fritz Lang,10.0,16.0
Suds,1920,12,3,7,4,1,John Francis Dillon,9.0,1.0
Sumurun,1920,5,3,7,1,3,Ernst Lubitsch,11.0,14.0
Terror Island,1920,9,,,4,1,James Cruze,5.0,2.0
The Toll Gate,1920,5,3,11,4,1,Lambert Hillyer,12.0,5.0
Von morgens bis mitternachts,1920,3,16,,1,3,Karl Heinz Martin,5.0,9.0
Das wandernde Bild,1920,7,,,1,7,Fritz Lang,7.0,7.0
Way Down East,1920,3,7,,4,7,D.W. Griffith,49.0,26.0
Why Change Your Wife?,1920,12,3,,4,1,Cecil B. DeMille,24.0,8.0
Within Our Gates,1920,3,7,,4,7,Oscar Micheaux,18.0,13.0
The Ace of Hearts,1921,2,3,9,4,7,Wallace Worsley,30.0,7.0
The Affairs of Anatol,1921,12,3,,4,7,Cecil B. DeMille,18.0,3.0
Be My Wife,1921,12,,,4,1,Max Linder,4.0,8.0
Die Bergkatze,1921,12,3,7,1,7,Ernst Lubitsch,11.0,15.0
The Blot,1921,3,,,4,1,Lois Weber,20.0,6.0
Buried Treasure,1921,5,6,7,4,1,George D. Baker,2.0,1.0
Camille,1921,3,7,,4,7,Ray C. Smallwood,34.0,6.0
The Conquering Power,1921,3,7,,4,7,Rex Ingram,16.0,3.0
Dream Street,1921,12,3,7,4,7,D.W. Griffith,6.0,2.0
Ducks and Drakes,1921,12,7,,4,1,Maurice Campbell,3.0,
Eldorado,1921,3,,,7,5,Marcel L'Herbier,3.0,4.0
Enchantment,1921,12,,,4,1,Robert G. Vignola,6.0,1.0
Forbidden Fruit,1921,3,,,4,7,Cecil B. DeMille,4.0,2.0
The Four Horsemen of the Apocalypse,1921,3,7,8,4,7,Rex Ingram,44.0,16.0
Hamlet,1921,3,,,1,3,"Svend Gade, Heinz Schall",5.0,8.0
Hintertreppe,1921,3,,,1,3,"Leopold Jessner, Paul Leni",9.0,
Das indische Grabmal zweiter Teil - Der Tiger von Eschnapur,1921,5,6,,1,3,Joe May,4.0,9.0
Das indische Grabmal erster Teil - Die Sendung des Yoghi,1921,5,6,,1,3,Joe May,5.0,9.0
Johan,1921,3,,,8,7,Mauritz Stiller,1.0,1.0
The Kid,1921,12,3,13,4,1,Charles Chaplin,151.0,97.0
Körkarlen,1921,3,6,10,8,7,Victor Sjöström,62.0,79.0
Leap Year,1924,12,,,4,1,"James Cruze, Roscoe 'Fatty' Arbuckle",9.0,1.0
Little Lord Fauntleroy,1921,3,,,4,1,"Alfred E. Green, Jack Pickford",7.0,4.0
The Love Light,1921,3,,,4,1,Frances Marion,12.0,2.0
Miss Lulu Bett,1921,12,3,,4,7,William C. de Mille,11.0,2.0
My Boy,1921,12,3,,4,1,"Albert Austin, Victor Heerman",8.0,
Der müde Tod,1921,3,6,16,1,3,Fritz Lang,33.0,41.0
The Nut,1921,14,12,7,4,1,Theodore Reed,9.0,2.0
Orphans of the Storm,1921,3,4,7,4,1,D.W. Griffith,39.0,21.0
Outside the Law,1920,2,7,16,4,1,Tod Browning,17.0,8.0
Rojô no reikion,1921,3,,,6,4,Minoru Murata,2.0,5.0
A Sailor-Made Man,1921,12,,,4,7,Fred C. Newmeyer,13.0,5.0
Sappho,1921,3,,,1,7,Dimitri Buchowetzki,4.0,2.0
Scherben,1921,3,,,1,3,Lupu Pick,5.0,3.0
Schloß Vogelöd,1921,2,3,10,1,3,F.W. Murnau,17.0,33.0
The Sheik,1921,5,3,7,4,1,George Melford,30.0,20.0
La terre,1921,3,,,7,5,André Antoine,7.0,4.0
The Three Musketeers,1921,14,5,7,4,1,Fred Niblo,15.0,13.0
Through the Back Door,1921,12,3,,4,1,"Alfred E. Green, Jack Pickford",8.0,
Tol'able David,1921,3,,,4,7,Henry King,15.0,7.0
Too Wise Wives,1921,3,,,4,1,Lois Weber,8.0,
Vier um die Frau,1921,3,,,1,3,Fritz Lang,4.0,5.0
Beauty's Worth,1922,3,7,,4,1,Robert G. Vignola,5.0,2.0
Beyond the Rocks,1922,3,7,,4,7,Sam Wood,51.0,16.0
Blood and Sand,1922,3,7,17,4,7,"Fred Niblo, Dorothy Arzner",20.0,12.0
Der brennende Acker,1922,3,,,1,7,F.W. Murnau,13.0,4.0
The Bride's Play,1922,7,,,4,1,George Terwilliger,5.0,
Crainquebille,1922,3,,,7,5,Jacques Feyder,10.0,3.0
Der var engang,1922,3,13,6,8,7,Carl Theodor Dreyer,4.0,1.0
Dr. Jack,1922,12,,,4,1,"Fred C. Newmeyer, Sam Taylor",18.0,7.0
Down to the Sea in Ships,1922,5,3,7,4,7,Elmer Clifton,16.0,7.0
"Dr. Mabuse, der Spieler",1922,2,9,16,1,3,Fritz Lang,37.0,74.0
La femme de nulle part,1922,3,,,7,5,Louis Delluc,1.0,1.0
Flesh and Blood,1922,3,,,4,7,Irving Cummings,10.0,
Foolish Wives,1922,3,16,,4,1,Erich von Stroheim,24.0,29.0
Die Gezeichneten,1922,3,,,1,3,Carl Theodor Dreyer,3.0,3.0
Grandma's Boy,1922,12,13,,4,1,Fred C. Newmeyer,24.0,15.0
The Headless Horseman,1922,12,3,10,4,1,Edward D. Venturini,9.0,4.0
Lorna Doone,1922,3,7,,4,7,Maurice Tourneur,14.0,7.0
The Man from Beyond,1922,9,,,4,1,Burton L. King,12.0,8.0
Manslaughter,1922,3,,,4,7,Cecil B. DeMille,11.0,4.0
Merry-Go-Round,1923,3,,,4,1,"Rupert Julian, Erich von Stroheim",5.0,1.0
Monte Cristo,1922,3,7,,4,7,Emmett J. Flynn,5.0,8.0
Moran of the Lady Letty,1922,5,,,4,7,George Melford,14.0,5.0
Nathan der Weise,1922,3,4,,1,3,Manfred Noa,,2.0
Nosferatu,1922,6,10,,1,3,F.W. Murnau,408.0,192.0
Oliver Twist,1922,3,,,4,1,Frank Lloyd,18.0,2.0
Othello,1922,3,7,,1,3,Dimitri Buchowetzki,10.0,5.0
Phantom,1922,3,7,,1,3,F.W. Murnau,17.0,23.0
The Prisoner of Zenda,1922,5,7,,4,7,Rex Ingram,15.0,5.0
Robin Hood,1922,5,13,7,4,1,Allan Dwan,24.0,17.0
Salomé,1922,1,3,4,4,7,"Charles Bryant, Alla Nazimova",26.0,7.0
Schatten - Eine nächtliche Halluzination,1923,3,6,10,1,3,Arthur Robison,15.0,16.0
Shadows,1922,3,,,4,1,Tom Forman,16.0,7.0
Sherlock Holmes,1922,3,9,,4,1,Albert Parker,17.0,14.0
Sky High,1922,14,3,7,4,1,Lynn Reynolds,6.0,1.0
Sodom und Gomorrha,1922,3,,,1,7,Michael Curtiz,6.0,2.0
La souriante Madame Beudet,1923,3,,,7,7,Germaine Dulac,9.0,7.0
Tess of the Storm Country,1922,3,7,,4,1,John S. Robertson,13.0,4.0
The Three Must-Get-Theres,1922,14,5,12,4,1,Max Linder,2.0,12.0
The Toll of the Sea,1922,3,13,6,4,7,Chester M. Franklin,24.0,11.0
The Trap,1922,3,,,4,1,Robert Thornby,10.0,3.0
Trapped by the Mormons,1922,3,2,,2,1,Harry B. Parkinson,6.0,3.0
Das Weib des Pharao,1922,3,4,,1,3,Ernst Lubitsch,9.0,14.0
When Knighthood Was in Flower,1922,7,3,,4,1,Robert G. Vignola,5.0,3.0
The Young Rajah,1922,7,3,,4,7,Phil Rosen,12.0,3.0
Das alte Gesetz,1923,3,,,1,3,Ewald André Dupont,3.0,5.0
Cameo Kirby,1923,3,,,4,1,John Ford,,
Coeur fidèle,1923,3,7,,7,5,Jean Epstein,6.0,17.0
The Covered Wagon,1923,5,7,11,4,1,James Cruze,6.0,13.0
The Extra Girl,1923,12,7,,4,1,F. Richard Jones,14.0,4.0
Gunnar Hedes saga,1923,3,,,8,7,Mauritz Stiller,5.0,5.0
Gösta Berlings saga,1924,3,7,,8,7,Mauritz Stiller,17.0,17.0
Haldane of the Secret Service,1923,5,2,3,4,1,Harry Houdini,6.0,2.0
The Hunchback of Notre Dame,1923,3,10,7,4,7,Wallace Worsley,61.0,52.0
Little Old New York,1923,12,7,,4,1,Sidney Olcott,6.0,4.0
Our Hospitality,1923,12,7,16,4,1,"John G. Blystone, Buster Keaton",51.0,45.0
The Pilgrim,1923,12,,,4,1,Charles Chaplin,24.0,15.0
Raskolnikow,1923,3,,,1,7,Robert Wiene,5.0,3.0
Rosita,1923,7,12,,4,1,"Ernst Lubitsch, Raoul Walsh",4.0,3.0
La roue,1923,3,,,7,1,Abel Gance,16.0,28.0
Safety Last!,1923,14,12,16,4,1,"Fred C. Newmeyer, Sam Taylor",82.0,87.0
Scaramouche,1923,3,7,,4,7,Rex Ingram,15.0,4.0
Der Schatz,1923,3,7,,1,3,Georg Wilhelm Pabst,3.0,5.0
The Shock,1923,3,,,4,1,Lambert Hillyer,16.0,6.0
Souls for Sale,1923,12,3,7,4,1,Rupert Hughes,24.0,5.0
Die Straße,1923,3,,,1,3,Karl Grune,,4.0
Sylvester,1924,3,,,1,3,Lupu Pick,2.0,1.0
The Ten Commandments,1923,1,3,6,4,1,Cecil B. DeMille,32.0,10.0
Three Ages,1923,12,,,4,7,"Edward F. Cline, Buster Keaton",24.0,35.0
Das Wachsfigurenkabinett,1924,6,10,,1,3,"Leo Birinsky, Paul Leni",20.0,25.0
The White Rose,1923,3,7,,4,1,D.W. Griffith,9.0,2.0
The White Sister,1923,3,7,,4,1,Henry King,17.0,3.0
White Tiger,1923,2,3,9,4,1,Tod Browning,8.0,5.0
Why Worry?,1923,5,12,13,4,1,"Fred C. Newmeyer, Sam Taylor",26.0,12.0
A Woman of Paris: A Drama of Fate,1923,3,7,,4,1,Charles Chaplin,36.0,22.0
Zaza,1923,7,3,,4,1,Allan Dwan,4.0,9.0
Aelita,1924,5,3,6,8,6,Yakov Protazanov,35.0,31.0
America,1924,3,4,8,4,7,D.W. Griffith,10.0,2.0
Beau Brummel,1924,3,4,7,4,7,Harry Beaumont,15.0,7.0
Black Oxen,1923,3,7,15,4,1,Frank Lloyd,8.0,3.0
Captain January,1924,3,,,4,1,Edward F. Cline,9.0,2.0
The Chechahcos,1923,5,3,,4,7,Lewis H. Moomaw,4.0,1.0
Dorothy Vernon of Haddon Hall,1924,3,4,7,4,1,"Marshall Neilan, Mary Pickford",4.0,2.0
The Enchanted Cottage,1924,3,,,4,1,John S. Robertson,6.0,2.0
The Family Secret,1924,3,,,4,1,William A. Seiter,6.0,1.0
La fille de l'eau,1925,3,7,,7,5,Jean Renoir,11.0,9.0
Die Finanzen des Großherzogs,1924,12,,,1,3,F.W. Murnau,,7.0
Forbidden Paradise,1924,12,,,4,7,Ernst Lubitsch,2.0,3.0
Girl Shy,1924,12,7,,4,1,"Fred C. Newmeyer, Sam Taylor",60.0,14.0
He Who Gets Slapped,1924,3,7,16,4,1,Victor Sjöström,45.0,21.0
Her Night of Romance,1924,12,7,,4,7,Sidney Franklin,6.0,4.0
Hot Water,1924,12,,,4,7,"Fred C. Newmeyer, Sam Taylor",,
L'inhumaine,1924,5,3,9,7,5,Marcel L'Herbier,6.0,18.0
The Iron Horse,1924,4,7,11,4,1,John Ford,30.0,39.0
Isn't Life Wonderful,1924,3,7,,4,1,D.W. Griffith,9.0,3.0
Janice Meredith,1924,3,4,7,4,1,E. Mason Hopper,5.0,1.0
