title,year,genre1,genre2,genre3,country,language,director,reviews_from_users,reviews_from_critics
The Story of the Kelly Gang,1906,1,2,3,8,7,Charles Tait,7.0,7.0
Den sorte drøm,1911,3,,,1,7,Urban Gad,4.0,2.0
Cleopatra,1912,3,4,,4,1,Charles L. Gaskill,24.0,3.0
L'Inferno,1911,5,3,6,5,2,"Francesco Bertolini, Adolfo Padovan",28.0,14.0
"From the Manger to the Cross; or, Jesus of Nazareth",1912,1,3,,4,1,Sidney Olcott,12.0,5.0
Madame DuBarry,1919,1,3,7,1,3,Ernst Lubitsch,11.0,9.0
Quo Vadis?,1913,3,4,,5,2,Enrico Guazzoni,6.0,4.0
Independenta Romaniei,1912,4,8,,8,7,Aristide Demetriade,3.0,1.0
Richard III,1912,3,,,7,1,"André Calmettes, James Keane",7.0,1.0
Atlantis,1913,3,,,8,7,August Blom,9.0,9.0
Fantômas - À l'ombre de la guillotine,1913,2,3,,7,5,Louis Feuillade,9.0,29.0
Ingeborg Holm,1913,3,,,8,7,Victor Sjöström,16.0,7.0
Juve contre Fantômas,1913,2,3,,7,5,Louis Feuillade,8.0,22.0
Maudite soit la guerre,1914,3,8,,8,5,Alfred Machin,2.0,2.0
Le mort qui tue,1913,2,3,9,7,5,Louis Feuillade,6.0,17.0
"Home, Sweet Home",1914,3,,,4,1,D.W. Griffith,6.0,
Der Student von Prag,1913,3,6,10,1,3,"Paul Wegener, Stellan Rye",19.0,26.0
Traffic in Souls,1913,2,3,,4,1,George Loane Tucker,13.0,10.0
Gli ultimi giorni di Pompei,1913,5,3,,5,2,"Mario Caserini, Eleuterio Rodolfi",12.0,7.0
Assunta Spina,1915,3,,,5,7,"Francesca Bertini, Gustavo Serena",7.0,1.0
The Avenging Conscience: or 'Thou Shalt Not Kill',1914,2,3,10,4,1,D.W. Griffith,14.0,11.0
The Bargain,1914,11,,,4,1,Reginald Barker,8.0,3.0
Cabiria,1914,5,3,4,5,2,Giovanni Pastrone,29.0,26.0
Cinderella,1914,6,3,,4,1,James Kirkwood,10.0,3.0
L'enfant de Paris,1913,2,3,,7,5,Léonce Perret,7.0,4.0
Fantômas contre Fantômas,1914,2,3,,7,5,Louis Feuillade,5.0,17.0
Le faux magistrat,1914,2,3,,7,5,Louis Feuillade,5.0,17.0
A Florida Enchantment,1914,12,,,4,1,Sidney Drew,6.0,3.0
Der Golem,1915,10,,,1,3,"Henrik Galeen, Paul Wegener",5.0,
Det hemmelighedsfulde X,1914,3,9,,8,7,Benjamin Christensen,7.0,4.0
"His Majesty, the Scarecrow of Oz",1914,13,6,5,4,1,J. Farrell MacDonald,11.0,7.0
Hypocrites,1915,3,,,4,1,Lois Weber,41.0,8.0
In the Land of the Head Hunters,1914,3,4,,4,1,Edward S. Curtis,8.0,11.0
Judith of Bethulia,1914,3,,,4,1,D.W. Griffith,16.0,8.0
The Patchwork Girl of Oz,1914,5,13,6,4,1,J. Farrell MacDonald,16.0,4.0
