title,year,genre1,genre2,genre3,country,language,director,reviews_from_users,reviews_from_critics
Yeon-ae-dam,2016,3,7,,8,7,Hyun-ju Lee,1.0,10.0
Der Läufer,2018,3,,,8,7,Hannes Baumgartner,3.0,5.0
Blood Prism,2017,3,10,16,4,1,Len Kabasinski,9.0,
Ism,2016,14,,,8,7,Puri Jagannadh,7.0,2.0
Bajo la Rosa,2017,2,3,9,8,7,Josué Ramos,5.0,15.0
Todo Mal,2018,12,,,8,7,Issa López,,2.0
Sergio & Serguéi,2017,3,,,8,7,Ernesto Daranas,3.0,4.0
Jurassic School,2017,12,3,13,4,1,Mark Atkins,10.0,2.0
Araña,2019,3,16,,8,7,Andrés Wood,1.0,4.0
Asher,2018,14,3,16,4,1,Michael Caton-Jones,40.0,23.0
Kuso,2017,18,12,3,4,1,Flying Lotus,18.0,43.0
Weg van jou,2017,12,7,,8,7,Jelle de Jonge,2.0,5.0
Mrs K,2016,14,2,3,8,7,Yuhang Ho,1.0,10.0
Professor Marston and the Wonder Women,2017,1,3,,4,1,Angela Robinson,108.0,137.0
Broers,2017,5,3,,8,7,Bram Schouw,1.0,6.0
The First Purge,2018,14,10,15,4,1,Gerard McMurray,536.0,218.0
Ivan Tsarévitch et la princesse changeante,2016,18,13,6,7,5,Michel Ocelot,,9.0
An Hour Behind,2017,3,7,,4,1,Brian Brough,23.0,
The Line,2017,2,16,,8,7,Peter Bebjak,1.0,13.0
Solis,2018,14,5,15,2,1,Carl Strathie,93.0,19.0
Canola,2016,3,,,8,7,Hong-Seung Yoon,6.0,4.0
Birdshot,2016,3,9,16,8,7,Mikhail Red,9.0,12.0
120 battements par minute,2017,3,,,7,5,Robin Campillo,27.0,164.0
Desolasi,2016,3,6,15,8,7,Syafiq Yusof,1.0,3.0
9 doigts,2017,5,3,,7,5,F.J. Ossang,2.0,28.0
Rosvaei 2,2016,12,3,,8,7,Masoud Dehnamaki,,
Double Date,2017,12,10,,2,1,Benjamin Barfoot,17.0,33.0
Girl Followed,2017,16,,,4,1,Tom Shell,11.0,4.0
L'ora legale,2017,12,,,5,2,"Ficarra, Picone",3.0,34.0
Titanic Review,2012,12,,,4,1,Mike Stoklasa,,
Downrange,2017,14,10,16,4,1,Ryûhei Kitamura,71.0,99.0
Gautas iskvietimas 3,2016,12,,,8,7,Tadas Vidmantas,1.0,
Radha,2017,14,12,7,8,7,Chandra Mohan Chintada,1.0,
Once Upon a Time,2017,3,6,7,8,7,"Anthony LaMolinara, Xiaoding Zhao",35.0,12.0
Mr. Hurt,2017,12,7,,8,7,Ittisak Eusunthornwattana,3.0,1.0
Byomkesh O Chiriakhana,2016,16,,,8,7,Anjan Dutt,,3.0
Briciole sul mare,2016,12,,,5,2,Walter Nestola,,
Devil's Domain,2016,10,,,4,1,Jared Cohn,6.0,19.0
Aladdin,2019,5,13,6,4,7,Guy Ritchie,1966.0,322.0
Bullitt County,2018,14,3,16,4,1,David McCracken,36.0,15.0
Off the Menu,2018,12,7,,4,1,Jay Silverman,19.0,16.0
The Aeronauts,2019,14,5,1,2,1,Tom Harper,46.0,47.0
The Black String,2018,10,9,16,4,1,Brian Hanson,27.0,14.0
Brazilok,2017,5,12,7,8,7,"Csaba M. Kiss, Gábor Rohonyi",1.0,2.0
Skin in the Game,2019,16,,,4,1,Adisa,8.0,3.0
6 Balloons,2018,3,,,4,1,Marja-Lewis Ryan,28.0,27.0
Kadvi Hawa,2017,3,,,8,7,Nila Madhab Panda,12.0,6.0
The Humanity Bureau,2017,14,5,15,8,1,Rob W. King,148.0,25.0
Hex,2018,10,16,,4,1,Rudolf Buitendach,45.0,7.0
Distorted,2018,2,9,16,8,1,Rob W. King,63.0,26.0
Comeback: Um Matador Nunca se Aposenta,2016,3,,,8,7,Erico Rassi,2.0,9.0
En el séptimo día,2017,3,,,4,7,Jim McKay,3.0,17.0
Chez nous,2017,3,,,7,5,Lucas Belvaux,3.0,42.0
Coexister,2017,12,20,,7,5,Fabrice Eboué,2.0,20.0
Purgatory Road,2017,2,10,,4,1,Mark Savage,29.0,9.0
Thomas & Friends: Journey Beyond Sodor,2017,18,19,,2,1,David Stoten,8.0,1.0
Obey,2018,3,,,2,1,Jamie Jones,14.0,19.0
John Wick: Chapter 3 - Parabellum,2019,14,2,16,4,1,Chad Stahelski,1920.0,346.0
F.R.E.D.I.,2018,5,13,15,4,7,Sean Olson,30.0,3.0
Atak paniki,2017,12,3,,8,7,Pawel Maslona,3.0,2.0
La Novia del Desierto,2017,3,,,8,7,"Cecilia Atán, Valeria Pivato",4.0,32.0
VampyrVidar,2017,12,6,10,8,7,"Thomas Aske Berg, Fredrik Waldeland",6.0,22.0
Suepeullit,2016,14,3,17,8,7,Kook-Hee Choi,,4.0
Chien,2017,12,3,,7,5,Samuel Benchetrit,3.0,12.0
De père en flic 2,2017,12,,,8,5,Émile Gaudreault,1.0,1.0
Vikram Vedha,2017,14,2,16,8,7,"Gayatri, Pushkar",111.0,17.0
Pure Country Pure Heart,2017,3,20,,4,7,Damon Santostefano,2.0,3.0
King of Peking,2017,12,3,,8,7,Sam Voutas,4.0,10.0
Vicdan Agaci,2016,3,,,8,7,Olgun Özdemir,,
Shadows of the Dead,2016,10,,,4,1,John Ross,6.0,2.0
Waiting for the Barbarians,2019,3,,,5,1,Ciro Guerra,1.0,27.0
The Relationtrip,2017,12,,,4,1,"C.A. Gabriel, Renée Felice Smith",9.0,5.0
Siembamba,2017,10,,,8,1,Darrell Roodt,23.0,20.0
Teukbyulshimin,2016,3,,,8,7,In-je Park,2.0,
Becks,2017,3,19,7,4,1,"Daniel Powell, Elizabeth Rohrbaugh",12.0,16.0
Song of Back and Neck,2018,12,7,,4,1,Paul Lieberstein,5.0,4.0
Long quan xiao zi,2016,14,,,8,7,"Sheng Tao, Wei Wang",1.0,
Plateia Amerikis,2016,3,,,8,7,Yannis Sakaridis,2.0,11.0
Emtehan Nahaee,2016,3,,,8,7,Adel Yaraghi,,12.0
Pariente,2016,3,16,11,8,7,Iván Gaona,2.0,8.0
Buddies in India,2017,14,12,,8,7,Baoqiang Wang,4.0,3.0
Essex Heist,2017,14,,,2,1,Steve Lawson,2.0,2.0
Die kleine Hexe,2018,12,3,13,1,3,Mike Schaerer,12.0,18.0
K.O.,2017,16,,,7,5,Fabrice Gobert,2.0,11.0
Roma,2018,3,,,8,7,Alfonso Cuarón,1044.0,378.0
Best F(r)iends: Volume 1,2017,12,3,16,4,1,Justin MacGregor,24.0,18.0
Redbad,2018,14,5,3,8,7,Roel Reiné,42.0,12.0
Juanita,2019,3,,,4,1,Clark Johnson,57.0,14.0
Perdidos,2017,5,3,16,8,7,Sérgio Graciano,4.0,4.0
Dopo la guerra,2017,3,,,7,2,Annarita Zambrano,2.0,10.0
37 Seconds,2019,3,,,6,4,Hikari,,8.0
