title,year,genre1,genre2,genre3,country,language,director,reviews_from_users,reviews_from_critics
Astro,2018,14,15,16,4,7,Asif Akbar,32.0,15.0
Entre dos aguas,2018,3,,,8,7,Isaki Lacuesta,,18.0
Chung tin foh,2016,14,2,16,8,7,Ringo Lam,3.0,17.0
Kûkai,2017,3,6,10,8,7,Kaige Chen,17.0,22.0
Wheely,2018,18,5,12,8,1,Yusry Abd Halim,6.0,10.0
Who's Watching Oliver,2017,3,10,,8,1,Richie Moore,21.0,68.0
Khawto,2016,16,,,8,7,Kamaleswar Mukherjee,,
Eagoler Chokh,2016,16,,,8,7,Arindam Sil,1.0,
Gatao,2015,14,,,8,7,Joe Lee,1.0,1.0
The Nanny,2018,6,10,16,4,1,Joel Novoa,27.0,
Chasing the Blues,2017,12,,,4,1,Scott Smith,3.0,3.0
Fukri,2017,12,3,13,8,7,Siddique,2.0,3.0
Chhakka Panja,2016,12,3,13,8,7,Deepa Shree Niraula,3.0,
The Confession,2017,3,9,,8,7,Zaza Urushadze,,6.0
Virginia Minnesota,2018,12,3,,4,1,Daniel Stine,8.0,16.0
Miss Saigon: 25th Anniversary,2016,3,19,7,2,1,Brett Sullivan,7.0,
A Violent Man,2017,2,3,16,4,1,Matthew Berkowitz,4.0,7.0
Grace,2018,12,2,7,4,1,Devin Adair,3.0,8.0
Circus Kane,2017,10,,,4,1,Christopher Ray,21.0,29.0
Kelor Kirti,2016,12,,,8,7,Raja Chanda,,
November,2017,3,6,10,8,7,Rainer Sarnet,20.0,62.0
Hjärtat,2018,3,,,8,7,Fanni Metelius,3.0,4.0
The Delinquent Season,2018,3,7,,8,1,Mark O'Rowe,20.0,3.0
Eruption: LA,2018,14,5,15,4,1,Sean Cain,2.0,1.0
Provodnik,2018,3,6,10,3,6,Ilya S. Maksimov,,1.0
Hwanjeolgi,2016,3,,,8,7,Dong-Eun Lee,1.0,3.0
Hikari,2017,3,7,,6,4,Naomi Kawase,4.0,64.0
Savage Youth,2018,2,3,,4,1,Michael Curtis Johnson,14.0,4.0
John Kincaid Unleashed,2017,14,,,4,1,JJ Stomp,,
Patay na si Hesus,2016,12,,,8,7,Victor Villanueva,,1.0
Lu de shui,2016,12,,,8,7,"Lu Liu, Shen Zhou",6.0,1.0
Angamaly Diaries,2017,14,12,16,8,7,Lijo Jose Pellissery,31.0,25.0
Sakhavu,2017,12,3,,8,7,Sidhartha Siva,6.0,5.0
One Day,2016,3,7,,8,7,Banjong Pisanthanakun,16.0,
I Think We're Alone Now,2018,3,9,15,4,1,Reed Morano,83.0,44.0
Rama Rama Re,2016,3,16,,8,7,"D. Satya Prakash, Satyaprakash",9.0,1.0
L'animale,2018,3,,,8,3,Katharina Mückstein,2.0,19.0
Stirring,2018,10,,,4,1,Troy Escamilla,23.0,22.0
Couples' Night,2018,7,,,4,7,Mark Harris,,
A Haunting at Silver Falls 2,2019,10,,,4,7,Teo Konuralp,9.0,2.0
Zhuo yao ji 2,2018,5,12,15,8,7,Raman Hui,4.0,17.0
Beast of Burden,2018,14,2,3,4,1,Jesper Ganslandt,39.0,24.0
The Assassin's Code,2018,14,2,3,4,1,David A. Armstrong,12.0,1.0
Naam Shabana,2017,14,16,,8,7,Shivam Nair,34.0,20.0
Avengers of Justice: Farce Wars,2018,14,12,13,4,1,Jarret Tarnol,14.0,4.0
Once Upon a Time at Christmas,2017,10,,,2,1,Paul Tanter,9.0,15.0
La fête est finie,2017,3,,,7,5,Marie Garel-Weiss,,6.0
Doo namja,2016,14,2,,8,7,Seong-Tae Lee,2.0,4.0
Guest iin London,2017,12,,,8,7,Ashwani Dhir,19.0,5.0
Gold,2018,3,4,17,8,7,Reema Kagti,246.0,15.0
Paint It Red,2018,12,2,16,4,1,Paul T. Murray,1.0,
Hidamari ga kikoeru,2017,3,7,,6,4,Daisuke Kamijô,,
Leokki,2016,14,12,2,8,7,Kae-Byeok Lee,9.0,9.0
So was von da,2018,12,3,20,1,3,Jakob Lass,,16.0
Arthur & Claire,2017,12,3,,1,3,Miguel Alexandre,3.0,15.0
Posledniy bogatyr,2017,14,5,12,3,6,Dmitriy Dyachenko,8.0,5.0
Feedback,2017,12,3,16,4,1,Derek Owen,,
Demons,2017,10,,,4,1,Miles Doleac,18.0,24.0
Nur Gott kann mich richten,2017,2,3,16,1,3,Özgür Yildirim,3.0,18.0
Asphaltgorillas,2018,14,12,2,1,3,Detlev Buck,1.0,14.0
Dieses bescheuerte Herz,2017,12,3,,1,3,Marc Rothemund,6.0,25.0
Event Zero,2017,14,3,9,8,1,Enzo Tedeschi,1.0,2.0
My War,2016,4,8,,8,7,Oxide Chun Pang,2.0,1.0
The Gateway,2018,15,,,8,1,John V. Soto,81.0,15.0
Poorna,2017,5,1,3,8,7,"Rahul Bose, Prashant Pandey",15.0,7.0
DRIB,2017,12,3,,8,1,Kristoffer Borgli,3.0,11.0
House of Evil,2017,10,,,5,1,"Luca Boni, Marco Ristori",11.0,7.0
St. Agatha,2018,10,16,,4,1,Darren Lynn Bousman,74.0,50.0
Om Namo Venkatesaya,2017,1,6,,8,7,K. Raghavendra Rao,2.0,5.0
Prosta historia o morderstwie,2016,2,16,,8,7,Arkadiusz Jakubik,,
Smallfoot,2018,18,5,12,4,1,"Karey Kirkpatrick, Jason Reisig",205.0,122.0
El-Kanz: El-Haqiqah wa el-Khayal 1,2017,14,5,3,8,7,Sharif Arafah,5.0,
Canal Street,2018,3,16,,4,1,Rhyan LaMarr,16.0,2.0
Jeg er William,2017,12,3,13,8,7,Jonas Elmer,,2.0
Carbone,2017,2,16,,7,5,Olivier Marchal,9.0,8.0
Monky,2017,3,,,8,7,Maria Blom,1.0,4.0
Something,2018,3,10,9,4,1,Stephen Portland,7.0,10.0
Rarandoi Veduka Chudham,2017,14,7,,8,7,Kalyan Krishna,6.0,1.0
Brampton's Own,2018,3,,,4,1,Michael Doneger,11.0,
The Executioners,2018,10,16,,4,1,Giorgio Serafini,20.0,6.0
The Witching,2016,10,,,4,1,Corey Norman,11.0,2.0
Die Beautiful,2016,12,3,,8,7,Jun Lana,4.0,3.0
La femme la plus assassinée du monde,2018,1,3,9,8,5,Franck Ribière,6.0,21.0
Imaikkaa Nodigal,2018,14,2,3,8,7,R. Ajay Gnanamuthu,59.0,5.0
Hot Air,2018,3,,,4,1,Frank Coraci,19.0,18.0
Painkillers,2018,3,,,8,7,Roxy Shih,10.0,8.0
Galaxy of Horrors,2017,10,15,,8,1,"Dennis Cabella, Javier Chillon",15.0,9.0
Georgettan's Pooram,2017,12,,,8,7,K. Biju,2.0,3.0
Angel Has Fallen,2019,14,16,,4,1,Ric Roman Waugh,357.0,157.0
Tutto quello che vuoi,2017,12,3,,5,2,Francesco Bruni,1.0,4.0
Alif,2017,3,,,8,7,Zaigham Imam,1.0,1.0
Sensei!,2017,3,7,,6,4,Takahiro Miki,4.0,2.0
Pin Cushion,2017,3,,,2,1,Deborah Haywood,13.0,33.0
Live from Dhaka,2016,3,,,8,7,Abdullah Mohammad Saad,4.0,11.0
X.,2018,2,16,,8,7,Károly Ujj Mészáros,4.0,6.0
Gremlin,2017,10,16,,4,1,Ryan Bellgardt,22.0,26.0
A Shaun the Sheep Movie: Farmageddon,2019,18,5,12,2,1,"Will Becher, Richard Phelan",27.0,42.0
The Trip to Spain,2017,12,3,,2,1,Michael Winterbottom,42.0,68.0
Blue My Mind,2017,3,6,,8,7,Lisa Brühlmann,12.0,61.0
Berserk,2019,6,16,,8,1,Rhys Wakefield,4.0,4.0
Aaaadat Nemikonim,2016,3,7,,8,7,Ebrahim Ebrahimian,,3.0
Khandehaye-Atoosa,2016,3,,,8,7,Alireza Farid,,1.0
Daddy Cool,2017,12,,,7,5,Maxime Govare,3.0,7.0
Ava,2017,3,7,,7,5,Léa Mysius,8.0,42.0
Le petit Spirou,2017,12,13,,7,5,Nicolas Bary,,6.0
Le prix du succès,2017,12,3,,7,5,Teddy Lussi-Modeste,,5.0
Zero 3,2017,16,,,8,7,Emilis Velyvis,1.0,
Vezdesushtiyat,2017,3,,,8,7,Ilian Djevelekov,8.0,5.0
Ghostland,2018,3,10,9,7,1,Pascal Laugier,247.0,143.0
Do You See Me,2017,10,,,4,1,Corbin Timbrook,,
Say You Will,2017,3,,,4,1,Nick Naveda,9.0,4.0
The Kill Team,2019,14,3,16,8,1,Dan Krauss,25.0,18.0
O gios tis Sofías,2017,3,,,8,6,Elina Psykou,2.0,13.0
Beata ignoranza,2017,12,,,5,2,Massimiliano Bruno,1.0,4.0
Que baje Dios y lo vea,2017,12,,,8,7,Curro Velázquez,4.0,4.0
Malicious,2018,10,16,,4,1,Michael Winnick,51.0,9.0
Kissing?,2016,12,3,7,8,7,Yannis Korres,1.0,3.0
The Hole in the Ground,2019,10,,,8,1,Lee Cronin,142.0,121.0
Hajwala,2016,14,5,2,8,7,"Ali Bin Matar, Ibrahim Bin Mohamed",5.0,
Aby,2017,12,3,,8,7,Srikant Murali,4.0,1.0
Kammara Sambhavam,2018,14,12,3,8,7,Rathish Ambat,19.0,4.0
Bairavaa,2017,14,16,,8,7,Bharathan,21.0,13.0
The Villain,2018,14,16,,8,7,Prem,45.0,1.0
Santhu Straight Forward,2016,14,3,7,8,7,Mahesh Rao,1.0,1.0
Nos patriotes,2017,1,3,8,7,5,Gabriel Le Bomin,1.0,6.0
Urvi,2017,2,3,16,8,7,Pradeep Verma,5.0,
626 Evolution,2017,14,15,,4,1,John Lyde,5.0,1.0
Ted - För kärlekens skull,2018,1,3,20,8,7,Hannes Holm,1.0,6.0
La Última Tarde,2016,3,,,8,7,Joel Calero,,3.0
Bullet Head,2017,2,3,16,8,1,Paul Solet,85.0,30.0
American Guinea Pig: Sacrifice,2017,10,,,5,1,Poison Rouge,4.0,11.0
Quel bravo ragazzo,2016,12,2,,5,2,Enrico Lando,,4.0
Assassination Nation,2018,14,12,2,4,1,Sam Levinson,169.0,125.0
The Crossbreed,2017,10,16,,4,1,Biray Dalkiran,15.0,6.0
Trapped,2016,14,3,16,8,7,Vikramaditya Motwane,63.0,22.0
Praça Paris,2017,3,,,8,7,Lúcia Murat,,6.0
Funôhan,2017,9,16,,6,4,Kôji Shiraishi,2.0,
Kleine IJstijd,2017,12,3,,8,7,Paula van der Oest,,2.0
"No Date, No Signature",2017,3,9,16,8,7,Vahid Jalilvand,6.0,91.0
Sade Ma'bar,2017,3,,,8,7,Mohsen Gharaie,1.0,31.0
Ashghal haye Doost Dashtani,2013,3,,,8,7,Mohsen Amiryoussefi,7.0,8.0
Baradaram Khosro,2016,3,,,8,7,Ehsan Biglari,,20.0
Motherhood,2017,3,7,,8,7,Roqiyeh Tavakoli,1.0,14.0
Pyppin Chuvattile Pranayam,2017,12,3,7,8,7,Domin D'Silva,4.0,1.0
Rag-e Khab,2017,3,7,,8,7,Hamid Nematollah,4.0,42.0
Bulan Terbelah di Langit Amerika 2,2016,5,3,,8,7,Rizal Mantovani,2.0,2.0
Azar,2017,3,,,8,7,Mohammad Hamzei,1.0,25.0
Loverboy,2017,3,7,16,1,3,Thomas Durchschlag,2.0,3.0
À mon âge je me cache encore pour fumer,2016,3,,,7,7,Rayhana Obermeyer,4.0,6.0
10x10,2018,16,,,2,1,Suzi Ewing,64.0,35.0
Haft mahegi,2016,3,,,8,7,Hatef Alimardani,,21.0
Zire saghfe doodi,2017,3,,,8,7,Pouran Derakhshandeh,1.0,24.0
Yek rouz bekhosos,2017,3,,,8,7,Homayoun Assadian,1.0,18.0
Gasht-e ershad 2,2017,12,3,,8,7,Saeed Soheili,,23.0
Khoob Bad Jelf,2017,14,12,,8,7,Peyman Ghassemkhani,1.0,22.0
Volumes of Blood: Horror Stories,2016,10,,,4,1,"Sean Blevins, John William Holt",1.0,19.0
A Vigilante,2018,2,3,9,4,1,Sarah Daggar-Nickson,112.0,52.0
It Lives in the Attic,2016,16,,,4,1,Steve Hudgins,12.0,7.0
Paper Year,2018,3,7,,8,1,Rebecca Addelman,13.0,5.0
Pitbull. Niebezpieczne kobiety,2016,14,2,3,8,7,Patryk Vega,1.0,1.0
Surviving the Wild,2018,14,5,13,4,1,Patrick Alessandrin,7.0,3.0
#Sohavégetnemérös,2016,12,20,,8,7,Dániel Tiszeker,,1.0
American Animals,2018,1,2,3,2,1,Bart Layton,178.0,179.0
Mr. Roosevelt,2017,12,,,4,1,Noël Wells,13.0,19.0
Parava,2017,14,12,3,8,7,Soubin Shahir,15.0,3.0
Öteki Taraf,2017,3,16,,8,7,Özcan Deniz,1.0,
I Am Not a Witch,2017,3,,,2,1,Rungano Nyoni,21.0,68.0
"¡Ay, mi madre!",2019,12,,,8,7,Frank Ariza,,2.0
Les gardiennes,2017,3,8,,7,5,Xavier Beauvois,13.0,50.0
Cop Mortem,2016,14,2,,8,7,József Kovalik,2.0,
The Journey,2017,3,16,,8,7,Mohamed Al Daradji,1.0,3.0
Sara and Ayda,2017,3,,,8,7,Maziar Miri,,20.0
Jadeh Komaki,2017,3,,,8,7,Ehsan Abdipur,,13.0
Aba jan,2017,3,8,,8,7,Hatef Alimardani,2.0,20.0
Tabestan-e Dagh,2017,3,,,8,7,Ebrahim Irajzad,2.0,26.0
Vilaieha,2017,3,8,,8,7,Munir Gheidi,,25.0
Anything,2017,3,7,,4,1,Timothy McNeil,15.0,14.0
The Miner,2017,1,3,4,8,7,Hanna Antonina Wojcik Slak,,9.0
Ise yarar bir sey,2017,3,,,8,7,Pelin Esmer,7.0,7.0
The Russian Bride,2019,10,16,,4,7,Michael S. Ojeda,48.0,14.0
Eoneunal,2017,3,6,,8,7,Yoon-ki Lee,3.0,
1922,2017,2,3,10,4,1,Zak Hilditch,170.0,78.0
Oceans Rising,2017,14,5,3,4,1,Adam Lipsius,112.0,4.0
Allure,2017,3,7,16,8,1,"Carlos Sanchez, Jason Sanchez",8.0,29.0
Born in 1987,2016,3,7,16,8,7,Majid Tavakoli,,13.0
Invasion,2017,2,3,9,8,7,Shahram Mokri,,15.0
It Happened at Midnight,2016,3,7,,8,7,Tina Pakravan,,15.0
Ghost Light,2018,12,10,,4,1,John Stimpson,8.0,13.0
Negar,2017,14,2,3,8,7,Rambod Javan,1.0,22.0
Noghteh kor,2016,3,,,8,7,Mahdi Golestaneh,,11.0
Ajin,2017,14,10,9,6,4,Katsuyuki Motohiro,10.0,11.0
Görümce,2016,12,13,7,8,7,Kivanç Baruönü,4.0,4.0
Cereyan,2017,16,,,8,7,Mert Dikmen,,
Saken Tabaghe Vasat,2014,3,6,,8,7,Shahab Hosseini,,2.0
Apostle,2018,3,6,10,2,1,Gareth Evans,389.0,113.0
Saat Panj é asr,2017,12,3,,8,7,Mehran Modiri,,51.0
The Rider,2017,3,11,,4,1,Chloé Zhao,101.0,151.0
House of Paper,2017,3,,,8,7,Mehdi Sabbaghzadeh,,13.0
21 Rooz Baed,2017,3,13,6,8,7,Mohamad Reza Kheradmandan,,24.0
Mali & rah-hay narafteash,2017,3,7,,8,7,Tahmineh Milani,2.0,30.0
Darkoob,2018,3,,,8,7,Behrouz Shoaybi,5.0,28.0
Ferrari,2017,3,,,8,7,Alireza Davoudnejad,1.0,24.0
Marge Mahi,2015,3,,,8,7,Rouhollah Hejazi,1.0,20.0
Tyler Perry's Boo 2! A Madea Halloween,2017,12,3,10,4,1,Tyler Perry,39.0,39.0
Viy 2,2019,14,5,6,3,1,Oleg Stepchenko,8.0,2.0
Calibre,2018,3,16,,2,1,Matt Palmer,210.0,47.0
Non si ruba a casa dei ladri,2016,12,,,5,2,Carlo Vanzina,,1.0
Maya Dardel,2017,3,,,8,1,"Zachary Cotler, Magdalena Zyzak",6.0,20.0
Red Lacquer,2016,3,,,8,7,Jamal Seid Hatami,2.0,22.0
Pole Khaab,2016,2,3,,8,7,Oktai Barahani,,23.0
Israfil,2017,3,7,,8,7,Ida Panahandeh,2.0,25.0
Charlie en Hannah gaan uit,2017,12,,,8,7,Bert Scholiers,1.0,16.0
The Party's Just Beginning,2018,12,3,,2,1,Karen Gillan,31.0,19.0
A House on 41st Street,2016,2,3,,8,7,Hamid Reza Ghorbani,,10.0
Sholevar,2018,3,,,8,7,Hamid Nematollah,,38.0
Gam man da song si,2017,14,,,8,7,Alan Lo,3.0,25.0
Pledge,2018,10,16,,4,1,Daniel Robbins,39.0,61.0
Godha,2017,12,3,17,8,7,Basil Joseph,16.0,4.0
Passport,2016,12,3,,8,7,Rajesh Sharma,,
The Christ Slayer,2019,3,,,4,7,Nathaniel Nose,7.0,5.0
Perfect,2018,10,9,15,4,1,Eddie Alcazar,11.0,10.0
Oshan 14,2016,12,,,8,7,Shady Al Ramly,,
Undir trénu,2017,12,3,9,8,7,Hafsteinn Gunnar Sigurðsson,17.0,86.0
Boarding School,2018,10,9,,4,1,Boaz Yakin,42.0,34.0
Comedy Ensani,2017,12,3,,8,7,Mohammad Hadi Karimi,,18.0
Alles voor elkaar,2017,12,,,8,7,Danny Stolker,,1.0
The Man Who Invented Christmas,2017,1,12,3,8,1,Bharat Nalluri,89.0,125.0
Ghostmates,2016,12,3,6,4,1,Jack Henry Robbins,16.0,1.0
Sand Angels,2018,13,,,4,1,Elizabeth Blake-Thomas,,
En attendant les hirondelles,2017,3,,,7,7,Karim Moussaoui,,22.0
Gud taler ud,2017,12,3,,8,7,Henrik Ruben Genz,2.0,
Harime Shakhsi,2017,3,,,8,7,Ahmad Moazemi,,17.0
Sexy Durga,2017,3,6,10,8,7,Sanal Kumar Sasidharan,5.0,39.0
Neko atsume no ie,2017,13,,,6,4,Masatoshi Kurakata,2.0,5.0
The Horse Dancer,2017,13,,,4,1,Joel Paul Reisig,12.0,2.0
Juleblod,2017,10,,,8,7,Reinert Kiil,3.0,34.0
Matar a Dios,2017,12,10,,8,7,"Caye Casas, Albert Pintó",2.0,22.0
Faith's Song,2017,3,,,4,1,Frank Hutto,16.0,2.0
Majaray nimroz,2017,14,3,4,8,7,Mohammad Hossein Mahdavian,1.0,41.0
Benim Adim Feridun,2016,12,3,,8,7,Çagan Irmak,,5.0
Roza of Smyrna,2016,3,7,,8,7,Giorgos Kordellas,4.0,1.0
Deli Ask,2017,12,7,,8,7,"Murat Dündar, Murat Kaman",5.0,6.0
Occidental,2017,12,3,16,7,2,Neïl Beloufa,1.0,5.0
"Ninguém Entra, Ninguém Sai",2017,12,,,8,7,Hsu Chien Hsin,3.0,13.0
Halt: The Motion Picture,2018,2,3,16,4,1,Jezar Riches,29.0,
Sinbad and the War of the Furies,2016,14,5,,4,1,Scott Wheeler,8.0,4.0
Cherokee Creek,2018,12,10,,4,1,Todd Jenkins,146.0,31.0
Za niebieskimi drzwiami,2016,5,13,6,8,7,Mariusz Palej,5.0,
Becoming Burlesque,2017,3,,,8,1,Jackie English,14.0,5.0
Never Said Goodbye,2016,7,,,8,7,Yu-Hsien Lin,,
Do It Yourself,2017,12,2,,8,7,Dimitris Tsilifonis,1.0,14.0
A ti te quería encontrar,2018,12,7,,8,7,Javier Colinas,1.0,2.0
Kadavul Irukaan Kumaru,2016,12,,,8,7,M. Rajesh,1.0,6.0
Rottentail,2018,12,10,,4,1,Brian Skiba,4.0,8.0
Macho,2016,12,7,,8,7,Antonio Serrano,6.0,1.0
Ride,2018,14,16,,4,1,Jeremy Ungar,31.0,23.0
To The Beat!,2018,12,3,13,4,1,Jillian Clare,9.0,3.0
Luck Unnodu,2017,12,,,8,7,Raaja Kiran,11.0,
Khargioush,2018,12,3,6,8,7,Mani Baghbani,1.0,15.0
Accident Man,2018,14,2,16,2,1,Jesse V. Johnson,63.0,35.0
Thaanaa Serndha Koottam,2018,14,12,2,8,7,Vignesh Shivan,21.0,11.0
Magalir Mattum,2017,3,,,8,7,Bramma G.,4.0,5.0
Backfire,2017,2,3,,4,1,Dave Patten,59.0,3.0
Con el viento,2018,3,,,8,7,Meritxell Colell,,6.0
Apocalypse Will Not Happen,2015,3,,,8,7,Ermalo Magradze,2.0,
Alamaara,2017,12,13,,8,7,Midhun Manuel Thomas,3.0,3.0
Cinderella and the Secret Prince,2018,18,5,13,4,1,Lynne Southerland,17.0,1.0
Locating Silver Lake,2018,3,,,4,1,Eric Bilitch,13.0,4.0
Agente Ñero Ñero 7,2016,12,,,8,7,Gabriel Casilimas,,1.0
Snowbound,2017,9,,,4,1,Olia Oparina,2.0,
"Ruben Brandt, Collector",2018,18,14,2,8,1,Milorad Krstic,26.0,43.0
Canastra Suja,2016,3,7,,8,7,Caio Sóh,1.0,3.0
Les affamés,2017,3,10,15,8,5,Robin Aubert,68.0,70.0
County Line,2017,14,3,11,4,1,Shea Sizemore,7.0,
Free and Easy,2016,12,,,8,7,Jun Geng,1.0,18.0
Honey Bee 2: Celebrations,2017,12,,,8,7,Jean Paul Lal,1.0,1.0
Spider-Man 2: Another World,2018,15,,,2,1,Joey Lever,2.0,
Chaar Sahibzaade 2: Rise of Banda Singh Bahadur,2016,18,,,8,7,Harry Baweja,3.0,
Love Express,2016,7,,,8,7,,,
