title,year,genre1,genre2,genre3,country,language,director,reviews_from_users,reviews_from_critics
Sahmaran,1994,5,13,,8,7,Zülfü Livaneli,1.0,
Sana lâyik degilim,1965,7,,,8,7,Osman F. Seden,,
The Scarecrow,2000,18,13,6,4,1,"Brian Nissen, Richard Rich",15.0,1.0
Selvi Boylum Al Yazmalim,1977,3,7,,8,7,Atif Yilmaz,8.0,2.0
Sultan,1978,13,12,7,8,7,Kartal Tibet,2.0,
Sultan gelin,1973,3,13,,8,7,Halit Refig,,
Tainá: Uma Aventura na Amazônia,2000,5,13,6,8,7,"Sérgio Bloch, Tania Lamarca",1.0,1.0
Tatli melegim,1970,12,7,,8,7,Mehmet Dinler,,
The Terence Davies Trilogy,1983,3,,,2,1,Terence Davies,4.0,8.0
Torzók,2001,3,,,8,7,Árpád Sopsits,10.0,3.0
View from the Top,2003,12,7,,4,1,Bruno Barreto,153.0,87.0
Yedi Kocali Hürmüz,1971,12,7,,8,7,Atif Yilmaz,,
Yilani öldürseler,1981,3,,,8,7,Türkan Soray,,1.0
Zengin mutfagi,1988,12,3,,8,7,Basar Sabuncu,,
Zor: Never Underestimate the Force,1998,14,3,16,8,7,Sangeeth Sivan,2.0,1.0
Drift,2001,3,,,8,7,Michiel van Jaarsveld,4.0,
2001 Maniacs,2005,12,10,,4,1,Tim Sullivan,113.0,106.0
The Abduction Club,2002,14,5,12,2,1,Stefan Schwartz,14.0,10.0
Al-Kahira thalatin,1966,3,7,,8,7,Salah Abouseif,,
"Alo, aterizeaza strabunica!",1981,12,,,8,7,Nicolae Corjos,2.0,
American Chai,2001,12,3,,4,1,Anurag Mehta,23.0,11.0
Ammoru,1995,6,10,,8,7,Kodi Ramakrishna,7.0,3.0
Ancient Warriors,2003,14,,,4,1,Walter von Huene,10.0,4.0
Senlik var,1974,12,7,,8,7,Nejat Saydam,,
Bashi-Achuki,1956,5,7,8,8,7,Leo Esakia,1.0,
Basic,2003,14,2,3,1,1,John McTiernan,295.0,135.0
Berserker,2004,14,5,6,8,1,Paul Matthews,12.0,6.0
Bhairava Dweepam,1994,14,5,12,8,7,Singeetam Srinivasa Rao,,1.0
